,Name,Code,Type,DrainageArea,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,geometry
2691,PIRAJU,64220000,1,18400.0,64,PIRAJU,SÃO PAULO,ANA,-23.1833,-49.3833,1969/01/01,1980/01/15,12,0.7,10,16.7,POINT (-5497323.809691467 -2654200.7745448784)
2692,UHE CHAVANTES PIRAJU JUSANTE,64220050,1,18300.0,64,PIRAJU,SÃO PAULO,PARANAPANEMA,-23.1792,-49.3922,2012/01/01,2012/12/31,1,0.0,1,0.0,POINT (-5498314.5531595275 -2653704.279730005)
2699,OLARIA DOS PADRES,64245000,1,4230.0,64,ITAPORANGA,SÃO PAULO,ANA,-23.7167,-49.55,1969/01/01,1980/01/17,12,0.0,11,8.3,POINT (-5515880.768806705 -2718924.5735166334)
2701,ITAPORANGA,64250000,1,1480.0,64,ITAPORANGA,SÃO PAULO,ANA,-23.7,-49.4667,1969/01/01,1980/01/16,12,0.0,11,8.3,POINT (-5506607.855223626 -2716894.1810176144)
2702,UHE CHAVANTES ITAPORANGA,64250010,1,1450.0,64,ITAPORANGA,SÃO PAULO,PARANAPANEMA,-23.7331,-49.4303,2012/01/01,2012/12/31,1,0.0,1,0.0,POINT (-5502555.825758751 -2720918.7449371475)
2703,UHE CHAVANTES BARRAMENTO,64270080,1,27800.0,64,CHAVANTES,SÃO PAULO,PARANAPANEMA,-23.1281,-49.7317,1931/01/01,2015/06/29,85,71.9,22,74.1,POINT (-5536107.520283842 -2647517.5341631686)
2704,PORTO ERMIDÃO (IRAPE),64273000,1,27800.0,64,CHAVANTES,SÃO PAULO,DAEE-SP,-23.0975,-49.7403,1937/06/11,1969/02/28,33,1.4,25,24.2,POINT (-5537064.867904665 -2643813.8794976827)
2705,PORTO ERMIDÃO,64275000,1,27800.0,64,CHAVANTES,SÃO PAULO,ANA,-23.1,-49.75,1969/01/01,1981/03/31,13,7.9,10,23.1,POINT (-5538144.666965361 -2644116.434002208)
2706,UHE OURINHOS BARRAMENTO,64278080,1,28200.0,64,OURINHOS,SÃO PAULO,CBA,-23.0678,-49.8375,1931/01/01,2015/06/29,85,74.9,18,78.8,POINT (-5547885.122409771 -2640219.9625133416)
2707,UHE OURINHOS JUSANTE,64278500,1,27945.0,64,OURINHOS,SÃO PAULO,CBA,-23.0714,-49.8464,2013/12/18,2017/12/31,5,2.2,1,80.0,POINT (-5548875.865877832 -2640655.5465376484)
2709,CHÁCARA DOS PINHAIS,64290000,1,128.0,64,BOTUCATU,SÃO PAULO,DAEE-SP,-22.9667,-48.4333,1980/12/09,1984/07/23,5,2.9,0,100.0,POINT (-5391570.293437857 -2627992.0623241756)
2710,CGH RIO NOVO JUSANTE,64310000,1,412.0,64,AVARÉ,SÃO PAULO,SANTA CRUZ,-22.9589,-48.9794,2013/12/06,2018/12/31,6,3.8,3,50.0,POINT (-5452361.867360064 -2627049.0439606532)
